review;star
yorumlara bakarak aldım..indirim kuponumda vardı .umarım işe yarar saçlarım çok dökülüyor..teşekkürler..;5
Deneyip güncelleyeceğim;4
tırnak kırılmam için bir ay kadar bi süre kullandım memnun kaldım tekrar sipariş verdim sorunsuz ve hızlı bi şekilde elime ulaştı, teşekkürler :);5
Ürünü kullanmaya başladığımdan beri saçlarımda etkisini gördüm. Dökülmeler azaldı.;5
Ürünü iki haftadır kullanıyorum. Gerçekten güzel bir vitamin.;5
hizli kargo sorunsuz teslimat. henuz yeni kullanmaya basladim umarim etkiside guzeldir.;5
uzun zamandir saclarim icin kullaniyordum faydasini gormeye basladim tavsiye ederim;5
gayet güzel..;5
kızım kullandı çok memnun kaldı saçları ve tırnakları çabuk uzadı.;5
1 aydır kullanıyorum daha etki görmedim;4
45 gündür hiç atlamadan kullaniyorum. tirnak için etkisini hemen goruyorsunuz. kirilmiyor artik. sac icin bir urunun etki etmesi en az 3 ay surer zaten. 100lu paket oldugu icin paket bitimini bekliyorum;4
düzenli kullanımda gerçekten etkisi büyük memnun kaldım;5
Gerçekten muazzam saçlarım için almıştım onun İÇİN henüz bisey söyleyemem ama tırnakları aşırı güçlendiriyor;5
saçlarım çok döküldüğü için arkadaş tavsiyesi üzerine aldım eskiye bakarak dökülme biraz azaldı;4
Solgarın alıyorduö her zaman bu sefer eczacıbasını denedim süper tsk ederim;5
Zaten eczacıbaşı kalitesi. Yeni kullanmaya başladım. Etkisini gördüğümde yine yazacağım.;5
Bu markanın tüm vitaminlerini beğeniyorum. B12 sini de kullanıyorum.;5
Daha zevkli hale getirmek için bir aroma ve renk verebilirlermiş tabletlere. Eczacıbaşı diye güvenip aldım bakalım ne sonuç verecek.;4
Beklediğimden çok daha küçük geldi. Büyük bi sabırla bitirdim ama asla memnun kalmadım hiç bir işe yaramadı.;1
Saçlarım harika uzadı tırnaklarım da kırılmıyor sürekli kullanıyoruz eşimle;5
İşe yarayıp yaramadığını aylar sonra söyleyebiliriz ancak paketlemesi güzeldi, ve eczacıbaşı güvencesiyle içime sinen bir vitamin oldu 👍🏻;5
pek faydasını görmedim;5
Aldım ama doktoruma sormadıgım ıcın kullanmadım henüz . Bebegımı emzırıyorum diye;5
Hızlı ve sağlam geldi skk da uygun dış şartları beğendim;5
Bir kutu içtim henüz bir etkisini göremedim;3
İki kutu kullandım yine de tırnaklarım düzelmedi? Sanırım başka bir sorunum var;2
Sanırım 5000lik kullanmak daha mantıklı. Yetmiyor gibi geldi, yan etkisi olmadı. Kargo hızlı;5
2ay old kullanmaya basladim bi etki göremedim;3
Harika bir ürün;5
Saç dökülmemi gözle görülür bir şekilde azalttı;5
Daha yeni kullanmaya başladım ancak markaya güvenim sonsuz olduğundan faydalı olacağına inanıyorum;4
1 ay oldu kullanalı bir fark göremedim, tip kaç bir bilgi bulamadım. 2. Ayım şiparişini vericem. Bu tarz ürünler bir kaç ay kullanımı sonrası belli oluyor;3
fiyat performans.etkisini gördüm;5
Tırnaklarımın güçlenmesine çok fayda sağladı hızlıca iyileştirdi kırık tırnağımı. 1 aya yakındır kullanıyorum saç dökülmeme fayda sağlayıp sağlamadığını henüz anlayamadım ancak saçlarımın da az da olsa kalınlaştığını farkettim.;5
Düzenli kullanıyorum tırnak kırılmamı önledi;5
kullandığımız bir ürün memnunuz dışarıya göre fiyatlarıda oldukça uygun teşekkürler;5
Kısa sürede elime ulaştı👍🏻 haplar ufak yutulması kolay. Umarım fayda görürüm.;5
1 haftadır kullanıyorum. Henüz bir değişiklik görmedim.;5
bitmek üzere ama fayda yok maalesef;5
düzenli kullanimla dokulmelerim azaldı;5
güzel bir ürün cam şişede geliyor Eczacıbaşı güvencesi var;4
Covid sonrası müthiş saç dökülmesi yaşadım. 8 aydır çıkan saçlarımın daha da güçlü çıkmasını sağladı. Satici da hızlı ve güzel paketleme yapmıştı. Teşekkürler...;5
guzel paketleme;5
Gayet güzel paketlenmiş teşekkürler;5
kargo hızlıydı ürün çok korunaklı gönderilmiş 15 gündür kullanıyorum ince tırnaklarım için kullanmak istedim umarım işe yarar yorumumu güncelleyeceğim;5
düzenli kullanıyorum, bir hafta oldu henuz bir reaksiyon göstermedi. paketleme güzeldi;4
sağlam geldi, son kullanma tarihi soru cevapta 09.20023 denmişti fakat 03.20023 geldi bu kısmını sevmedim ne deniyorsa o gelmeliydi;3
Cok iyi sarılmıs bir sekilde geldi;5
Güzel ürün. Hızlı bir şekilde teslim edildi.;5
kargo zamanında yetişdi. məhsul eynən şəkildəki kimidir, ümid edirəm saç tökülməmə faydası olar;5
paketlenmesi güzel kullanmaya devam edebilcegim bir ürün zorlanmadan tüketebilir siniz;5
çok güzel paketleme saç ve tırnakta fark edemedim henüz 15 gün kadar oldu başladığım bende aşırı yorgunluk vardı çok iyi geldi toparladı gerçekten işten eve geldiğimde elim kolum tutmuyor du şimdi eve gelince yemekten sonra süpürge bile yapıyorum okadar iyi geldi bana;5
sürekli kullandığım güvenilir bir marka paketlenmesi de gayet başarılı almak isteyen varsa düşünmeden bu markayı tercih etmeli;5
Çok güzel paketlenmiş ve hızlı şeklide elime ulaştı. İşe yaramasını umuyorum;4
Teslimat geç oldu ama fiyatı uygun umarım işe yarar;1
fiyatı uygun güzel paketlenmiş saç dökülmem için aldım umarım ise yarar;4
Saç dökülmesi için makul doz, Eczacıbaşı olması da iç rahatlatıcı. Fakat PTT kargo çok geç teslim ediyor. 17 günde elime ulaştı. Sipariş verenler bu süreyi göz önünde bulundurmalı.;5
Ikili set olarak aldim, fiyat uygundu, kargo ve paketleme iyiydi, etkisi icin bir sure duzenli kullanim gerek.;4
Saç dökülmesi için kullanıyorum. 100 ki tablet olması bu açıdan iyi. Uzun süreli kullanım sağlıyor. Kargo konusunda ise gayet korunaklı bir şekilde geldi. Kapakta film vardı ilk ben açtım ama ayrıca ürün kutusu yoktu.;4
9. Ayın sonundayız ve gönderilen ürün skt 11.ay!üstelik barkoddan sorgulayınca hiç bir bilgi çıkmıyor orijinalliğe yönelik!!üstelik çoğu görselde kapak metal benimki plastik!!;1
Ürün aşırı korunaklı geldi satıcıya teşekkür ederim;5
Paketleme güzeldi . Hızlı bir şekilde elime ulaştı .;5
Hızlı teslimat ve özenli paketleme.;5
Guzel paketlenmiş bakalım inş işe yarar;4
kapalı ambalaj kullanım tarihi 2022 teşekkür ederim 🙏;5
kapak ezilmesi dışında başka bir sorun görmedim;3
Siparişi akşam verdim ertesi gün öğlen elime ulaştı ürün henüz başlamadım kullanmaya ama paketlemesi ve hızı oldukça iyi👌👍;5
Bana 11/2022 tarihli son kullanma tarihli ürün denmişti ama 02/2022 tarihli geldi çok yakın zamanda olduğu için iade edicem lütfen bu tür durumları önemseyin;3
tadı güzel ve iyi hissettiriyor paketleme özenliydi;5
Teşekkür ederim, marketlerdrn daha çok ucuz🙏🙏;5
Tadı çok güzel;5
Herzaman yanımda👍;5
tadı redoxon ile kıyaslarsak kötü ama fiyatı gayet iyi etkisini şimdilik farketmedim;4
Ürünü devamlı kullanıyoruz. Piyasadaki en güzel C vitamini 👍🏻;5
Anneme aldım inşallah işe yarıycak;5
işe yariyor;5
adiltan sonra %40 indirim yanlis bisii iade edecegim;1
Satıcının özensizliğinden kaynaklandığını düşünüyorum. İlk defa başıma geliyor. 5 kutu vitaminden ikisi kırılmış tabletler poşetin içine dağılmış olarak geldi.;1
Uzun zamandır kullandığım bir vitamin. Diğer satıcılara göre daha uygun fiyata geliyor, tavsiye ederim. Tadı çok güzel;5
Özenli teslimat icin sachane ye teşekkür ederim velavit in diğer vitaminlerini kullandım çok etkili eminimki bu üründe öyledir;5
Biraz fazla tatlı;4
C vitaminleri arasında en iyilerden;5
sürekli kullandım ürün;5
Güvenilir ürün;5
Ayşegül hocanın askerleriyiz☺️;5
İyi kargolama.;5
KULLANDIĞIM BİR VİTAMİN BAŞARILI TEŞEKKÜR EDERİM;5
Acaip enerji veren bi vitamin. İçiyorum resmen yorgunluğum gidiyo;5
Piyasanın en iyisi net;4
Çok güzel bir ürün tadı falan çok güzel;5
memnunum gayet iyi;5
velavitin tüm ürünleri gibi buda başarılı içimi lezzetli.;5
Effer formda olup bu fiyata bulamayacağınız bir ürün her indirime girdiğinde kişi başı 2 şer tane alıyorum;5
bomba etkisiyle sizi kendinize getiriyor;5
Kaliteli ve uygun ürün. Teşekkürler.;5
bunu da arkadaşıma aldım çok memnun kaldı hergün içiyor;5
velavit kalitesi;5
Tadı güzel;5
bize iyi geliyor hep aynı marka kullanıyorum;5
Korona sonrası beni topladı enerjiniz yerine gelsin istiyorsanız kesinlikle alın;5
Bence fiyat performans çok iyi düzenli kullanıyorum;5
Çok memnun kaldım, iyi bir marka;5
Doktorumun tavsiyesi üzerine aldım. Güvenilir bir marka. Fiyatıda çok iyi. Teşekkürler;5
yorgun veya halsizsem işe yarıyor portakal tadı var. indirimdeyken 3 tane aldım;5
bu ürün sayesinde kilo aldım kesinlikle alın ihtiyacınız varsa eczanede 75 TL'ydi;5
hızlı ve özenli kargolama için tşk ederim...;5
Sanki bir enerji geldi😊;5
gayet guzel;5
Çok memnunum;5
tadı guzel;5
Çok severek içiyoruz tadı güzel;5
hafta bir fiyat değişiyor;4
yaklaşık 1 yıldır kullanıyoruz, fiyatı daha da artmazsa kullanmaya devam edecegim;4
her zamanki gibi bittikçe alıyorum. memnunum tam zamanında geldi teşekkürler;5
Velevit urunlerinin kalitesine guveniyorum. Fiyati da cok uygun.;5
Çok uygun fiyata aldım;5
Ucuncu kutudayim, dusunmeden tercih edebilirsiniz.;5
tadi guzel. etkili oldugunu düşünüyorum. colostrum ile birlikte kullandık;5
çok fazla seker içeriyor, bir daha tercih etmem. bir takviyenin seker icermesi mantiklı degil;5
sorunsuz aldık.;5
tadı güzel diğerlerine göre daha az turuncu;5
Hızkı kargo güzel ürün herşey için tesekkürler;5
Güzel ürün iki kutu birlikte aldım kullanıyorum;5
İnternetten vitamin alımını ilk defa tereddüt ederek yaptım , muhafaza şartlarının iyi olmadığı düşüncesi sebebiyle. Geldiği gibi hemen son kullanma tarihini kontrol edip 1 tanesini içtim , Eczane den alınandan ile hiç bir farkı yok . Ayşegül çoruhlu sebebiyle velavit vazgeçilmezimiz oldu zaten . Şüphe etmeden alın derim 🙌🏻;5
"2. kez alıyorum, bitkin ve halsizsem güzel ise yariyor;) teşekkürler";5
Süper kargo hızlı;5
Enerji veriyor;5
Sürekli kullandığımız takviye. Fiyatını yükselttiler . Nazlı Erkoç tavsiye etmişti. Teşekkürler Nazlı.;5
şu dönem de tam ihtiyaç duyulan ürün;5
Tadi cok guzel ailece severek iciyoruz.;5
geyet güzel tadı hoş beğendim;5
tadı çok güzel;3
Beğendim teşekkür ederim 🙏;5
memnun kaldık;4
çok çok iyi;5
Gayet iyi sorunsuz;4
Ürün kaliteli tek eksi yönü bana fazla şekerli geldi.;4
Kullanmadım ancak iyidir sanıyorum;5
SEVEREK KULLANIYORUZ TEŞEKKÜRLER;5
5. kez alıyorum galiba, bittikçe de alırım. Piyasadaki en iyisi bu.;5
Severek kullanıyorum;5
Almanya üretimli çok kaliteli tadı çok güzel 3kuti aldim;5
4 kutu aldım memnunum;5
Çok iyi,tavsiye ederim;4
Hızlı teslimat için teşekkürler;5
Cok güzel memnun kaldım;5
tadına bayıldım çocukluğumuzun oraleti gibi bu dönemde çok içtiğimiz için tat öne çıkıyor. farklı markaların ürünlerini uzun süre içemedim.;5
Fiyatı uygun, markaya güvenim tam👍;5
fiyat performans ucuz;4
Ayşegül çoruhlu önerisi ile aldım iyidir sanırım 2. Kutudayım şu an;5
çok şekerli;4
çok güzel çok beğendim .çokta uygun başka firmalara göre;5
Herzaman kullanıyorum;5
içinde bulunan tatlandırıcı nedeniyle kullanmadım bu tatlandırıcılar zararlı kimyasallar;1
Güzel ve hızlı kargo;5
harika;5
çok teşekkürler;5
Hem hızlı kargolama hem de bu covid döneminde c vit deposu emsal markalara göre fiyatı daha uygun etkisi de aynı boşuna yüksek fiyatlı olanları almayın;5
Hem kaliteli hemde uygun fiyatlı aldım bu arada çok çabuk geldi teşekkürler;5
güzel ve fiyatı uygun;5
Devamlı kullanıyorum etkisi var. Fiyatı uygun;5
Velavit markasına çok güveniyorum. Tablet güzel çözünüyor tortu kalmıyor;5
bu süreçte en çok kullandığım ürün ve bu markadan başka tercih etmedim.;5
Güvendiğim marka ve hızlı kargo👍;5
Hızlı geldi,kullanmadım henüz;5
Paketleme özenliydi ve içeriği temiz gördüğüm kullandığım bir vitamin markası teşekkür ederim;5
Efervesanda tek tercihim. Hep ayni firmadan siparis veriyorum. Hem guzel paket hem de hizlica kargoluyorlar. Içerik ve firma kalitesi ve nefis portakal tadı ile C vitamini değil gazoz içme hissi garanti. Velavit ürünlerinden memnunum. Kargo hızlı geldi. Paketleme de iyiydi.;5
internet üzerinden çok fazla vitamin aldım ama cam şişede olanlarda bile bu kadar özenli paketlemeye rastlamadım. Sırf paketleme özeni bile 5 yıldız aldı benden 😉👌;5
en en en iyi c vitamini kesinlikle bu.diger markalari da kullandim bunun kadar iyi sonuc vermiyor. 1senedir kullaniyoruz tum aile. eksiksiz ve kullanma tarihi gecmemis sekilde geldi. her daim alisverisim buradan. tesekkurler. eczane fiyatinim resmen 3te birine aliyorum.orjinalliginden suphe etmesin alanlar.ben 8 adet siparis verdim;5
Ürün paket içinde patlamış geldi paketleme berbat.Telafi edilmesini istiyorum.Birdahada vitamineczane den sipariş vermicem.Ürün kullandığım ve memnun olduğum bi ürün .;1
teşekkürler pandemi gü nlerinde güvenle içebilecek ürün. herkese şifa olsun;5
2 gün içinde teslim edildi teşekkürler;5
Kargoyu güzel yapmışlar, teşekkürler.;5
Hızlı şekilde ulaştı. Paketlemesi özenli. Bence duzgun bir firma gerçekten. Velavit in ürünleri zaten tartışılmaz. Bence tercih edilebilir.;5
satıcıya hızlı kargolanmasini rica ettim saolsunlar elime hızlı bi sekilde ulaştı teşekkürler;5
tadı harika, paketlemesi de çok iyiydi teşekkürler;5
Sağlam orjinali;5
çok iyi.endise etmeden alabilirsiniz.tedarikcimizin paketlemesi de oldukça iyiydi.tavsiye ederim.;5
Sağlam paketleme ve hızlı kargo için teşekkürler. Ürün destek, takviye olarak başarılı.;5
Orijinal ürün;5
ürünler iyi pandemi döneminde çok lazımlı bir ürün;5
Selam ürün gugün elime ulaştı ve kutunun altı kırık vitaminler dökülmüş vaziyetteydi .. bu kadar kötü bir ürün kargosu görmedim .. sakın bu satıcıdan almayın.. fotoğrafta görebilirsiniz rezilliği;1
zamanında geldi özel itina ile paketlenmiş;5
ürünü daha önce kullanmıştım gayet iyi içerik.yanlız bu kez satıcı çok özensiz göndermiş.iki ürün de hasarlı geldi.iade ile uğraşamıycam ama ambalajların birinin altı kırık,diğerinin ise kapağı.satıcı hayal kırıklığı.ürüne sözüm yok;5
Çok özenli paketleme ve hızlı teslimat teşekkür ediyorum;5
Orginal ürün, kaliteli marka;5
paketleme ve urunu zamaninda gonderme sahane tesekkurlwr;5
hızlı gönderim. Tşkler;5
Kargoda sıkıntı yaşamadım hayet güzel patpata sarılı şekilde geldi. Ve kullanıyorum.;5
ürün elime geç geçti.ayrica 3 tane sipariş etmiştim.bir tanesinin alt kısmı açık geldi.;2
ürünü kullanmadim kullandigimda güncellerim yorumu diyecegim ama kesin unuturum :) kargo da sorun yok tesekkurler iyi calismalar.;5
Ağzı açık ambalajın için beyaz toz halinde geldi.;1
Paketleme güzeldi ve ürün çok hızlı geldi teşekkürler;5
Çok iyi vitamin.;5
çox sağ olun təşəkkür edirəm hediye üçün de teşekkürler;5
Kan değerlerim yerlerde olduğu için saç dökülmem çoktu gece kalkıp içiyordum daha etkili baya azaldı;5
sabahları aç karnına c ile beraber alıyorum henüz etkisini anlayamadım;4
Kalıtelı marka tesekkurler;5
etkili bence, jelatin kullanılmaması da artısı benim açımdan;5
Bi süre kullanıp tekrar döneceğim;4
koruma bantlı ve sağlam bir şekilde ulaştı teşekkür ederim;5
Sağlam geldi;5
demir eksikliği vardı bu ilaçla geçti çabuk yükseltiyor değerleri ve mideyi rahatsız da etmiyor;5
Dozaji gunluk kullanima uygun. Markayi severek kullaniyorum;5
Güzel kan azlığı için;5
Hızlı kargo ve iyi fiyat;5
ürün paketleme ve kargo gayet iyiydi inşallah fayda görürüm👍;4
Doktorumun tavsiyesi üzerine bu markadan aldım memnunum sabahları kullanıyorum 👍;5
Gayet güzel tavsiye edilir;5
hızlı ulaştı elime midemde bir sorun yaratmadı etkenliğini daha sonra güncelleyeceğim;5
guzelll sanirim yeni basladim;5
hep kullaniriz bittikce alirim;5
umarım faydasini gorurum.;5
Birkaç hafta sonra etkili oluyor;5
👌🏼👌🏼👌🏼;5
teslimat hızlı, paketleme güzel👍;5
Yeni kullanacagim;5
Çok hızlı geldi paketleme çok iyi teşekkürler;5
fiyat performans urun;5
Çay ve Kahveyi çok tüketince kullanmak şart oluyor.;5
Bağırsaklarda rahatsızlık yapmadı. Sadece biraz büyük.;4
Hızlı teslimat;5
Arkadaşımdan denemiştim şeker gibi değil daha yavaş eriyor jel gibi çok etkisini gördüm ve kendime de aldım;5
Ürünü covid çıktığından beri kullanıyorum. Boğaz ağrılarınada iyi geliyor. Arkadaşıma covidken verdim bunun sayesinde boğazımda bişey kalmadı dedi. Almanızı tavsiye ederim. Ürünün paketlenmesi çok iyiydi.;5
covid ile hayatımıza girdi ve hayatımızın bir parçası oldu :) Satıcıya Iyi paketleme ve uygun fiyat icin tesekkurler.;5
Boğazı rahatlatıyor;5
Güzel ürün jel gibi ama sert deği;5
Diğer serisine göre daha yumusak ve jelibon gibi tadı aynı kullanılabilir;4
Plus olmayan daha güzeldi.;2
Covid ve salgın için iyi koruyucu beğenerek kullanıyorum. Tadı kötü gelebilir. İyi olduğuna dair bi gösterge tadı .;5
Kalabalığa girmeden önce alıyorsunuz, vitaminlere ek olarak kullanıyorum. Memnunum.;5
Ürün diğerlerinden farklı ve hiçbir işe yaramıyor;3
iyi gibi görünüyor.;5
Plus olmayanı daha etkili. Bu hem çok yumuşak hem de diğeri gibi anında rahatlama sağlamıyor, keskin bir tadı yok.;3
Teşekkürler;5
aldığım tavsiyeler neticesinde kullanıyorum.cok memnunum;5
jelibon gibi emmek istesen emilimiyor çiğneyerek yutuyosun bepenmedim diper formu daha etkili bence;3
yapış yapış gibi sıcaktan etkilenmişti;4
çok iyi bir pastil ancak bu jel gibi sert olanı daha çok beğeniyorum;5
Plus olanını ilk defa aldım. Tadı kötü olsada işe yaradığı kesin.;5
Tadı kötü ama etkisi efsane;5
Devamlı kullandığım kaliteli ve etkili pastil;5
Phytorelief CC gibi değil, bu jelibom şeker kıvamında. 30’luk kutu olması avantaj ama bir daha almam, CC alırım;3
normaline göre tadı hafif , yumuşak bir pastil;4
Tadı kötü ve diğer klasik olana göre daha yumuşak. Jelibon gibi. Tekrar almayı düşünmüyorum. İçerik olarak diğerine göre daha zengin olabilir ama boğaz ağrısı için çok bir etkisini hissetmedim. Klasik olan çok acıydı ama mükemmel bir şekilde yakarak boğaz ağrınızı uzun saatler boyunca hafifletiyordu. Acı diye diğerini sevmeyen için güzel bir alternatif olmuş.;4
Tadı çok keskin;3
sorunsuz elime ulaştı. henuz kullanmadım. hızlı ve özenli kargo;5
Super , tesekkurler .;5
plus olmayan daha etkili ve keskin .bunun tadı çok keskin değil;3
Harika bir pastil anında öksürüğümü kesiyor;5
Cok memnun kaldim , bogazima en iyi gelen pastil oldu.;5
Ürün hızlı gönderildi ancak herhangi bir koruyucu kutuya konulmadığı için hem kutular ezilmiş hem de içindeki blisterlar patlamış. Satıcının buna dikkat etmesi gerekir. Eczaneden aldığım ürün ile ambalaj bakımından bir fark göremedim.;3
Boğaz gıcıklanmasını ortadan kaldırıyor, seviyorum.;5
Covid geçirdiğim zaman boğaz ağrısı için kullandım. Fakat diğer ürün gibi işe yaradığını düşünmüyorum. Jelibon gibi pastil yapmışlar. İnsanın, ağzına sekiz on tane atası geliyor.;3
ürün ezilmiş ve zedelenmiş şekilde ulaştı, içeriğinde sorun yok.;2
Ambalaj yırtık geldi;1
30 adetlik ve plus olması gereken ürün 12'li geldi. Pek iyi niyetli gelmedi bana bu tutum ama yanlışlık olmuş diyelim. İade edicem.;1
Kargolama ve paketleme güzeldi. Memnun kaldım.;5
bu ürünün plus olmayanı çok daha iyi. bu çok işlevsiz. bir daha satın almam. Satıcıya ise hızlı kargo için teşekkürler.;1
Hızlı geldi firma sağlam kargolamış . Plus olanı ilk defa kullanıcam. Orjinal ürün;5
Bir arkadaşımın önerisiyle aldım. Çok güzel paketlenmişti. Kargom da sorunsuz ulaştı. İçerik benim için çok önemliydi. Tam istediğim içeriğe sahip. Öğretmen olduğum için hastalıklara karşı biraz savunmasız kalıyorum. Özellikle D vitamini kullanarak bağışıklığımı yükseltmeye çalışıyorum. Bir şişe bitince yorumumu güncelleyeceğim. Teşekkürler SUNDEX 🌝;5
Ürünün tamamen bitkisel olması, tatlandırıcı içermemesi ve zeytinyağı içerikli olması nedeniyle gönül rahatlığıyla kullanıyorum ve tavsiye ediyorum. Serum şeklinde oluşundan dolayı kullanımı çok daha kolay. Tatlandırıcı içermemesi zaten efsane çünkü içimi çok güzel zorlanmadan kullanıyorum. Kargo çok hızlı ve paketlemede çok özenliydi. Teşekkürler linova teşekkürler sun dex ❤️;5
Yerli ve doğal tavsiye ederim, çocuklarım için kullanıyorum.;5
Ürün çok güzel paketlenmişti ve hemen elime ulaştı. Zararlı maddeler içermeyen bu vitamini güvenilir ve ilgili satıcıdan temin edebilirsiniz gönül rahatlığıyla;5
D vitamini için ürün araştırırken tavsiye üzerine bu ürünü gördüm. D vitaminin en etkili formunun zeytinyağı ile olduğunu okumuştum fakat bu formatta bir ürüne rastlamamıştım. Hızlı kargo ve ilgili satıcı, teşekkür ederim.;5
Ürün 24 saat içinde elime ulaştı. Özenli paketleme için ayrıca teşekkür ediyorum. Yüzde yüz bitkisel içerikli olması da tercih sebebim oldu.;5
gerçekten degerimi yukseltti 17 iken 34oldu d vitaminim teşekkür ederim boyle bir katki da bulunduğunuz için;5
