Review;Score
film pek tabii romantik komedi severlere ve Drew barrymore hayranlarına hitap ediyor bu bu koşulların ikisinede uyduğum için filmi oldukça zevkle seyretmiştim halende zaman zaman seyrederim.;Positive
80'lerin naif havasını ve tüm hit parçalarını barındıran film bu açıdanda izlemeye değer bir yapım.;Positive
benim cok hosuma gitmisti adam sandler zaten süperdi bir de drew gelince.;Positive
ben tam bir drew hayranıyım onu her filminde çok hoş ve mükemmel bir oyunculukla görüyorum.;Positive
..kısaca o MÜKEMMEL!;Positive
80li yılları hem görüntüsüyle hem de müziğiyle iyi yansıtan bir film.;Positive
.adam sandlerın sesi ve drewin şirinliği için izlemeye değer.;Positive
"""güzel film oldukça hoş ve şirin türüne meraklıların göz ardı etmemesi gereken bir seyirlik""""""";Positive
HAKKETTENDE ADAM SANDLER'IN SESİ GÜZEL .;Positive
DREW BARRYMOORE MAKYAJ VE KIYAFETLER SAYESİNDE OLDUKÇA ŞİRİN BİR KIZA DÖNÜŞMÜŞ.;Positive
çok şirin bir film.;Positive
özelliklede drew barrymoore:;Positive
))ah o 80ler müzikleri çok duygulamıştım izlerken.;Positive
Her film güzeldir.;Positive
bu filmde roswell'deki maria'nin kücüklügünü izleyebilirsiniz ama o kadar bizim mahoni de böyle filmlerden vazgecmiyo ne yapalim.;Neutral
bıktık artık böyle filmlerden.;Negative
hala bizi aptal yerine koymaya çalışıyorlar.;Negative
her şey güllük gülistanlık;Positive
bu filmi izlemeniz mümkün değil.;Neutral
hatta yorumumu bile okuyamayacaksınız bu filmi istanbul film festivalinde izlemiştim duygu yüklü eşsiz bir filmdi.;Positive
11-12 yıl falan oluyor izleyeli.;Neutral
.jean reno ya hasta olmuştum bu filmde.;Positive
eğlenceli hoş vakit geçirilecek bir fim.;Positive
Filmi izlediğimde çok sevmiştim ama ben çekim yılının daha erken bi yıl olduğunu düşünüp böyle bi yapım yaptıkları için hayran kalmıştım sonra baktım 1997 .;Positive
..o yüzden biras sempatim düştü.;Neutral
..genel olarak çok hoş bi film ama buradaki özetini okuduğumda aaa öylemiymiş dediğim çok şey oldu yani filmde anlatmak istediğini anlatamamış 10/7.;Positive
.. vanessa paadise o zamanlar çok değişikmiş.;Neutral
..yüzü güzel ve masum şimdi ise fazla gothic takılıo.;Positive
güzel bir film vennessa paradisi överdim ama johnny depp'Le beraber olduğu için bunu gururuma yediremiyorum.;Positive
bu filmi o kadar çok izledim ki anlatamam .;Positive
Yine olsa izlerim.;Positive
Yalnız ben filmin adını cadının aşkı olarak biliyordum burda cadıca sevmek dio.;Neutral
Ne iş anlamadım.;Neutral
film çok eğlenceli bence herkes izlemeli.;Positive
Bi ara TV.'de sık sık werilen we çok sempatik bi film olarak gördüüm izlenmesi gereken.;Positive
..ya da gerkmeyen film!;Negative
Bu arada $u an Vanessa Paradis çok sewgili Korsan Johnny Depp'in e$i rolündedir we 2 adet (!;Positive
!!) çocukları wardır!;Neutral
Mutluluklar dileriz.;Positive
eğ-lenceli hoş bi film;Positive
gill iyi iş çıkarmış.;Positive
.pazar akşamı arkadaşlarınızla patlamış mısır yiyerek evde izlemek için ideal bir film.;Positive
eğlenceli..;Positive
Eğlenceli bir film.;Positive
Ally Mcbeal'ın Billy'si burda baya iyi oynamış.;Positive
usta ve sevilen oyuncuların da olması cabası.;Positive
güsel vakit geçirilinecek bi film.;Positive
arabayı o hale getirdiklerinde moral bozukluğuna uğrayabilirsiniz.;Neutral
komik bir film Sabrinanın aşık olmuş versiyonu;Positive
Korkunç tüyler ürpertici vee iğrenç sahneleri olan harika bir yapım.;Positive
. Not:Bu filmi izleyipte hiçte korkunç değildi diyen arkadaşlar yalan söylerler adım gibi eminim.;Neutral
İzleyen herkesi etkileyecek bir film.;Positive
Kaçmamalı.;Positive
Konu güzel işlenmiş.;Positive
.Aslında seri olarak güzel bir yapım izlenebilir.;Positive
Güzel bir filmdi.;Positive
Bildiğim kadarıyla en son Wishmaster IV te kaldılar.;Neutral
Devamı gelir.;Neutral
Film gerçekten güzel.;Positive
Filmde şiddet unsurlarından hiçmi hiç kaçınılmamış.;Positive
Hatta abartılmış.;Negative
Ama yinede yılına göre iyi film.;Positive
Bence güzel bir filmdi.;Positive
.. Bu film çıktığında bu kadar etkileyici hangi film varmış?;Positive
:) İlk izlediğimde çok etkilenmiştim.;Positive
ben bu filmi çok beğenmiştim aldığı puanın üstünde bir film.;Positive
yılına göre güzel bir film.;Positive
hoşş bi film ama amatorce yapılmış chook hata var mesela filmin konusu bence o kadar da etkileyici değil ama yinede bizim bütün kokru filimlerimizden daha kaliteli:;Positive
Yani film mükemmel efektlere sahip değil ama izlettiriyor kendini en son 4.;Positive
ü sünü izledim o bile gayet iyiydi.;Positive
Bence eski bir film olsada bu konuyla çekilmiş bir olmaması insanı cezbediyor.;Positive
güzel filmdi sonuda mantıklı bitti ben çok beğendim ama çok ta kötü deyil yani;Neutral
neden bu kadar sert eleştiriler yapılmış bilmiyorum ama ben filmi çıktığı sene izlediğimde tamamiyle ürpermiştim çok korkutucuydu:;Neutral
)bazı yorum yazan arkadaşların da dediği gibi bence klasik korku filmlerinden bir tanesi.;Neutral
#AD?;Neutral
... - 'Hayırrrrrrr bu olamaz bu olamaz.;Neutral
.!!!' Ve cin ait olduğu yere döner.;Neutral
..Korkutucu bir paragrafla hikayesini açan Wishmaster zaman zaman boğduğu sahnelerle de adından söz ettirmişti hatırlayacaksınız.;Neutral
Fakat değeri devamlarının başarısızlığıyla bilindi.;Negative
.Eğer Tılsım'a geçer dersem o da iki ayrı zamanlarda yapılan ve olayların hazin bir şekilde tekrarlanmış olduğu sahnelerden üzre gelir.;Neutral
.Orta diyeyim en iyisi:;Neutral
çok kotuydu;Negative
"""çok güzel sıkmayan filmlerden izleyeli 5 sene olduysada filmin finalinde kadının 3. dileğini unutmadım""""""";Positive
berbat bi film.;Negative
zaman kaybındam başka bişi değil.;Negative
bence bu film artık bir klasik oldu.;Positive
ve bence çok iyi bir film.;Positive
korku olarak geçsede ben bunu tam olarak korku kategorisinde değerlendirmek istemiyorum.;Neutral
çünkü bence bu film macer-korku ve konu olarak çok kaliteli.;Positive
Film 1998 yılında çekildi ve vizyona girdi ben bu filmi sinemada izlemiştim aslına bakarsanız güzel bir konuya sahip ama görsel efekt yönünden sınıfta kalmış bir film makyajlar çok ama çok yapmacık fakat dediğim gibi senaryosu bir gerilim filmine göre hiç de başarısız sayılmaz saygılarımla .;Positive
filmi çok begendim kendini izleyiciye zorla seyrettirmiyor hikayesini çok güzel anlatıyor herkese özellikle cin karakteri filmin temel taşı bence;Positive
cin haricinde son derece başarısız bir film.;Negative
6-12 Yaş grubu filmlerden.;Negative
"""Bunu sevdiyseniz size bir tavsiyem de """"""""13 Hayalet"""""""" dir.""";Neutral
BANA GORE MUKEMMEL HELE O ILK SAHNEDEKI FANTASTIK HAVA O PERS KRALLIGI ANLATIMI MUKEMMEL;Positive
Star 2 haftada bir veriyor boş ver sen onları.;Neutral
.Sanırım bu kadar çok izlemenin verdiği baygınlıktan olacak kötü eleştiriler yapmışsınız.;Neutral
.ama wes craven'ın Nightmare On Elm Street'den sonraki en iyi filmidir.;Positive
bakalım bu akşam star da veriyolar.;Neutral
...önceden seyretmiştim ama tam bi korku filmi tadı alamamıştım.;Neutral
..bi de bu filme bu kadar devam filmi çekilmesi bence gereksizdi yer yer güzel olmasına rağmen vasatı geçebilecek bi film değildi yani;Neutral
şahsen bu filme zamanımı vermem için çok boş zamanımın olması lazım.;Neutral
.öle çok kötü diyemem ama neb biliyim.;Neutral
.saçmalamışlar.;Negative
bissuru devamı falanda cekıldı bu vasat fılmın yaklasmayın bence.;Neutral
Açılış sahnesi çok iyiydi gerçekten insanların istediklerini dogru tanımlamamaları nelere yol açıyor görüyorsunuz bu filmde.;Positive
ayrıca bu filmi izledikten sonra bi ara hep nasıl böyle bişey olsa dezavantajsız dilek dilerim diye baya kafa yordum.;Neutral
yer yer iyi olmasına rağmen bazı bölümlerde adamları korkutacaz diye mide bulandırıcı sahneler koymuşlar.;Negative
"""üstelik korkutmuyor sadece eğlendiriyor""""""";Neutral
bu filmin 5 puan aldığına inanamıyorum.;Positive
o kadar aptal film 7 yi geçerken bu filme haksızlık yapılmış kesinlikle iyi bir film.;Positive
gerçekten müthiş bir film.;Positive
diğer çekilen 2 bölümü de harika idi.;Positive
efektlerini çok beğendim.;Positive
yapma yaa..;Neutral
. bence rezalet bi filmdi.;Negative
filmi hiç beyenmedim.;Negative
.travoltaya aldanarak dvdsini aldıım.;Neutral
. ancak çok durgun ve sade geçen bi film 4/10;Negative
cok hos ve guzel bir film vede duygusal duygusal ve acikli filmleri hep severim 10/10;Positive
Hoş bir filmdi sonu biraz duygusaldı;Positive
Kesinlikle harika bir film!;Positive
İzlediğim en iyi filmlerdendi.;Positive
Savaş dönemi yaşanan tüm pislikleri göz önüne seriyor.;Neutral
Bunu özellikle tarafsız olması gereken bir gazeteci yönünden anlatması daha da çarpıcı.;Neutral
Bunu sevenler The Hunting Party yi ve Grbavica(the Land of My Dreams) i de seveceklerdir.;Neutral
Film ile ilgili yorum yazmak istemiyorum sadece bu iki alıntı ile filmin özetini yapmak istiyorum:;Neutral
""":""""""""Savaş Sarajevo'dur!""";Neutral
Onun parçası değilsen rüyadasındır!;Neutral
"""Ayni katliam müslümanlar yerine hristiyanlara yapilsaydi Batı bu soykırıma farklı yaklşırdı""""""""""""""";Neutral
Bu şahane yapımı bu akşam tekrar Digiturk'de izleme şansım oldu ama o korkunç vahşete bir kez daha bakmaya yüreğim dayanmadı sadece 20-25 dakikasını izledim hani şu ER (acil servis) dizisinde ki Dr.;Positive
Kovac'ın ölümüne kadar olan bölümü izledim.;Neutral
"""Daha önce Ayşe Kulin'in """"""""Sevdalinka"""""""" adlı romanını da okumuş ve Saraybosna'daki drama bu sayede şahit olmuştum ama olayın görsel yanı insanın yüreğini acıtıyor.""";Neutral
"""O öldürülen kundaktaki suçsuz günahsız bebeklerin yaşlıların kurşuna dizilen hayvanların ailesi hatta tüm akrabaları öldürülüp de dünyada bir başına kalan yetim çocukların dramı sürekli gözyaşlarımın sular seller gibi akmasına """"""""allahım bu nasıl bir vahşet"""""""" sözlerini ard arda tekrar etmeme neden oldu yine.""";Negative
İnsanlar keskin nişancılar yüzünden cenazelerini bile öldürüldükleri yerlerden alamıyor su için çeşme başında sırada beklerken yolda yürürken veya evinin içinde dolaşırken bir keskin nişancı tarafından öldürülmemek büyük başarı.;Negative
"""İnsanlar daha güvenli bir yerlere gitmek için savaş muhabirleri aracılığıyla seslerini dünyaya duyurmaya çalışırken gelen """"""""sözde devlet adamlarının"""""""" kocaman askeri kargo uçaklarıyla kimseyi kurtarmayıp bürokrasi engeline takılmaları insanı çileden çıkarıyor.""";Negative
Kosovalı kardeşlerimizin yaşadığı dramı son derece başarılı bir şekilde gözler önüne seren son derece iyi belgesel gibi bir yapım.;Positive
Schindlerin Listesini izleyip beğenen vatandaşımız bu film içinde aynı şeyleri hissedip bu tarz yapımlara sahip çıkmalı.;Neutral
"""Yarın birgün bizde yine terörle uğraşırken o Saraybosna da yaşananları bizde yaşamayalım diye Türk halkını belki """"""""toplumun azınlıkları arasında bölücülüğe yönelmesini engelleyebilecek"""""""" tarzda bir yapım bence.""";Neutral
İzlemeyen herkese şiddetle tavsiye ederim.;Positive
Çevremizde dünyamızda olup bitenlere bu kadar duyarsız kalmayalım hiç değilse bu tarz bağımsız yapımlar aracılığı ile savaş soykırım gibi önemli konularda sizlerde doğru fikir ve bilgi sahibi olun herkese iyi seyirler dilerim.;Positive
Yakın geçmişe tanıklık eden ve gerçekleri tüm çıplaklıgıyla beyaz perdeye yansıtan başarılı bir dram.;Positive
.. Eger aksiyon ya da eğlenceli bireşey arıyorsanız sayfayı lütfen değiştirin;Neutral
Eger tarihe tanıklık etmek istiyorsanız mutlaka izleyin;Negative
Tek bir eksikliği var o da konunun kimleri için çok agır olabilmesi sizi biraz sıkabilir!;Negative
televizyonda bir iki kez izlemiştim eski zamanlarda;Neutral
kötü bir film değil;Positive
bir pazar sabahı kalkarsınız kahvaltınızı edersiniz ve tvde zaplarken bunu görürsünüz oturun izleyin gençler pişman olmazsınız.;Positive
küçükken sürekli izlediğm bir filmdi.;Neutral
kanal dde sürekli verirlerdi.;Neutral
ama şimdi pek rastlamıyorum.;Neutral
ya ne denirki böyle bir filme?;Negative
"""arada kanal d'de veriolar sanırım kareteye meraklı kardeşiniz varsa ufak koyun tv'nin önüne içeri gidip başka bi işle uğraşın""""""";Negative
yok artık dedım ne dümenler dönuyo ya;Negative
Sosyal mesaj verme kaygısı ile çekilmiş anlatıldığı kadarda komik olmayan ama oyuncuların hatırına izleyebileceğiniz bir film.;Positive
ben bu fiLmi cok begendim.;Positive
.. oyuncuLar da son derece kaLiteLi.;Positive
Yapılmış en iyi sistem eleştirilerinden biri.;Positive
Bir olayın üstünün nasıl rahatlıkla örtülebileceğine ve medyanın gücüne dair bundan iyisini bulamazsınız.;Positive
Sadece kurgusu iyi.;Positive
Böyle kaliteli oyuncuların bu tür basit yapımlarda oynamasına bir anlam veremiyorum.;Negative
Biraz daha seçici olmamalılar.;Neutral
Yer yer sıkıcı olmasına rağmen yıne de Robert De Nıro ve Dustın Hoffman gibi isimleri bir araya getirmesinden zaten izlenilebilir bir yapım olduğu anlaşılıyor.;Negative
Senaryo çok ilginç ve yer yer sıkıcı olsa da sürükleyıcı.;Neutral
Komedıye gelince sadece Woody Harrelsonun sahneleri komik.;Positive
filmin türü komedi yazıodu fakat ben nedense hiç gülmedim.;Negative
sadece ben değil arkadaşlarında yorumları aynı oldu.;Neutral
sadece hoş diye bilirim daha fala bişey demek zor değişik ve farklı bir senaryo ve filim ama çok fazla bir beklemek biraz haytalcilik olabilir.;Neutral
ama genede izlenmesi gerek çünkü hoşbir konusu var ne olursa olsun.;Positive
Helal olsun adamlara.;Positive
Müthiş bir film.;Positive
Gercekten filmi izlerken o kadar sıkıldım ki anlatamam.;Negative
.. Çok bayık bir film olaylar ilerlemek bilmiyor.;Negative
.. Son derece sıkıcı.;Negative
. Böyle iki oyuncunun bir araya geldiği bir film böylesi sıkıcı olamaz ya.;Negative
şimdiye kadar izlediim yüzlerce film arasında izlediğim en keyifli filmlerden birisiydi.;Positive
. üstelik bu zamana kadar arşivime eklemediğim için de çok pişman oldum.;Positive
. oyuncular senaryo filmin akışı replikler müzik hepsi olağanüstüydü.;Positive
. dakikalar geçtikçe hayretler içinde kalarak gözümü ekrandan ayıramadım.;Positive
. filmi izlerken yaşananların içinde buluyosunuz kendinizi ve olaylara ayak uydurmak için beyninizde bir koşuşturmaca yaşıyor gibi hissediyorsunuz.;Positive
. kaçırmayın derim.;Positive
Hoffman var daha ne olsun yaaa değil mi ama.;Positive
.bu adamın filmlerde duruşu bile yeter filmin izlenmesi için.;Positive
Amerikan rüyasının nasıl işlediğine göz atan çok önemli bir örnek.;Positive
Mutlaka izleyin!;Positive
amerikan eleştirisiyle amerikan yandaşlığı yapan bir film.;Neutral
devlete karşı devlet olma hayali gibi.;Neutral
nasıl beğenilir anlamış değilim.;Neutral
yoksa ben mi ne unuttuğumu unuttum.;Neutral
Film çok hoş ve bence çok da önemli.;Positive
Tabi bu film amerikan filmi oldugu için adamlar kendilerini eleştirmiş.;Neutral
Ama bu taktiğin uygulandığı yer sadece amerika değil.;Neutral
Her ülkede var bu.;Neutral
İnsan beynini balık beyni ile özdeşleştirip suni gündem yaratarak olayları unutturma taktiği.;Neutral
Fena sonuçlar vermediğinden olacak ki her ülke zorda kaldıgında bunu dener:;Neutral
Filmin başındaki köpek-kuyruk muhabbeti de dahiyaneydi.;Positive
Sosyal hafıza medya seçimler kişisel menfaatler komplo teorileri gibi konulara merakları olanları tatmin edebilecek bir konusu var.;Neutral
Tabi ki dev oyuncu kadrosu da cabası.;Neutral
Tkıntı yaptıım ilk filmlerden biridir kendisi.;Neutral
..geçen ay yine buldum filmi arşivime katmış oldum.;Neutral
hala çok sevdiimi farkettim.;Positive
güzeldi ama filmin büyük bi ksımını unuttum;Positive
Senaryo ve kurgu harika olmuş.;Positive
Bir de filmde De Niro ve Hofmann var daha ne olsun.;Positive
güzel film.;Positive
...izleyin.;Positive
medyanın politikleşmesine dair literatüre girmiş bir film.;Positive
""". abd de özellikle kamuoyunun ilgisini skandallardan başka yöne çekmek için iktidarın uyguladığı """"""""spin doctoring"""""""" i çok ince ve hafif alaycı şekilde anlatırken yönetmen mizahi bi anlatımı seçmiş.""";Neutral
filmi beğendim.;Positive
..özellikle o ince senaryosu hoş olmuş.;Positive
izledigim en kötü dogal afet filmi;Negative
orada olmayan adam demişki:;Neutral
biraz fazlaca fantastik görünsede zevkle izlenebilecek bir film yani amerikanın ortasında bir volkan bunu düşünen senaristi kutlamak lazım.:));Positive
yorumunuza bayıldım doğrusu gerçekten çok hoş bir yorum olmuş size katılıyorum.;Positive
Klişelerle bürünmüş bir felake filmi.;Negative
Sadece zaman geçirmek ve de Tommy Lee Jones için izlenebilir.;Negative
Yine de izlenmese daha iyi olabilecek bir film.;Negative
Baştan sona tam bir felaket filmi tanımlaması.;Negative
Bir film ancak bu kadar belli eder ne olduğunu.;Negative
Açılıştan çekimlere müzikten espirilere karakterlerden karekterlerin aile yapılarına kadar her şey olması gerektiği gibi duruyor.;Positive
Gösterime girdiği tarihte belki her şey bu kadar ezbere oturmuş bir durumda değildi(belki de öyledi kimilerine göre) ancak şu an itibariyle filmdeki olayların gidişatı için Matrix'ten kahine başvurmaya gerek yok sanırım.;Neutral
bütün bir senaryo bilinen bir denklem üzerine kurulu yani.;Positive
bu durumda geriye pek olasılık kalmıyor.;Neutral
finali tahmin edin örneğin.;Neutral
tam tamam kurtulduk derken yeniden bir olay patlak verir ve o işten kurtulduktan sonra da malum son kareler herkes kısmen de olsa mutlu mesut bir şekilde hayatına devam eder.;Positive
bu hikaye de burda biter.;Neutral
çocuk masalları gibi hepsi de aynı taşlar üzerine kurulu.;Neutral
sonuç;Neutral
biraz fazlaca fantastik görünsede zevkle izlenebilecek bir film yani amerikanın ortasında bir volkan bunu düşünen senaristi kutlamak lazım.;Positive
los angeles'in tam ortasında bir volkan.;Neutral
Konu olarak akla ziyan bir film gibi görünsede görsel efektlerle oldukça etkileyici.;Neutral
sürükleyici bir konusu da var.;Positive
"""size de oturup patlamış mısırla beraber filmi izlemek düşer""""""";Positive
Tv karşısında patlamış mısınızı alıp izlemek için bu film son derece güzel bir seçim olur heralde güzel bir film.;Positive
filmin sadece efektleri güzel ondan başka hiçbir şey yok.;Neutral
bir iki efekt görmek için izlemeye değmeyecek film tommy lee jones da çok iyi diildi;Negative
çok basit bir film.;Negative
. zaten doğal afet ile ilgili filmler gittikçe saçma olmaya başladı.;Negative
..İzlemeye hiç gerek yok.;Negative
heyecan var ama efektlerinde pek iş yok.;Neutral
bunuda seyredin bide pıerce bronan ın dante yanardağını seyredin.;Neutral
farkı anlayın;Neutral
hepsini izlemedim çünkü sonunu filmin gidişini tahmin ediyosunuz.;Negative
tek fark tommy lee o da kaynamış arada işte.;Neutral
ARMAGEDDON-DERIN DARBE VE VOLCANO EMPERYALIZM HER ENGELI ASAR DIYO YANI.;Neutral
Çok sürükleyici ve bol actionlı bir film tvde cıktıgında hiç kaçırmazdım bulabilirseniz filmi kesinlikle izleyin derim.;Positive
Gayet güzel sonuna kadar sürükleyen bir aksiyon filmi.;Positive
Jones Snipes ve Robert rollerini çok iyi oynamışlar.;Positive
Bunun dışında temposuda hiç düşmüyor yorumların arasında kötü yorumlara rastlayınca şaşırdım doğrusu.;Positive
bence çok güzel ve sürükleyici bir filim yani neden beğenilmediğini anlamdım.;Positive
çok tempolu ve abartı olmayan bir filim.;Positive
Aslında o kadar abartılacak bi film değil ama yinede beğendim.;Positive
Robert Downey jr rolünü çok güzel oynamış.;Positive
vasat bir film olmuş.;Neutral
yani harison fordun kacağı nerde bu nerde.;Neutral
zaten ikisinide syreden hemen anlar.;Neutral
sınemada ızleme fırsatı bulamamıstım.;Neutral
dun tvde seyrettım.;Neutral
alısılmıs bır kacak fılmı senaryosu var dıger kacak fılmlerınden tek farkı bence aksıyonun ve heyecanın daha fazla yasanması!;Positive
izlenebılecek bır fılm.;Positive
berbat bı film;Negative
Oliver Stonenun bazılarınca pek sevilmeyen ama bana göre başyapıtlarından biri.;Positive
"""Filmin özellikle """"""""Şans"""""""" hakkındaki vurgusu muhteşem.""";Positive
Bana göre 10 puanı fazlasıyla hakkediyor.;Positive
Beklediğim kadar iyi bir film değil.;Negative
Filmin havası gidişatı biraz farklı.;Neutral
Bu farklılık bazı durumlarda iyi olmuş ama bana çoğunlukla kötü geldi.;Negative
Filmdeki en başarılı isim Bily Bob Thornton.;Positive
"""Film tam bir hayalkırıklığı çok kötü bir film 3 puan""""""";Negative
Billy Bob Thornton Nick Nolte ve Sean Penn gibi isimlerin kadroda bulunması yetmiyormuş gibi bide döktürdükleri film.;Neutral
Film beni sıktı evet ama sadece psikolojik olarak.;Negative
Kısacası başarılı bir kara film.;Positive
Oliver Stone un iyi işlerinden.;Positive
Müthiş bir film.;Positive
3 defa izledim.;Neutral
outofcomment adamım sen filmden anlamıyon bence.;Neutral
Biraz geç de olsa izledim.;Neutral
Fazlasıyla oturaklı bir film.;Positive
Hiçbir kargaşaya yer yok.;Positive
Sean Penn ve Nick Nolte iyi bir uyum.;Positive
Jennifer Lopez eh işte diyorum.;Negative
Ve halen bu hatunun sinemada ne işi var diyorum.;Negative
Sean Penn harikulade bir oyunculuk.;Positive
Senaryo ve kurgu çok iyi.;Positive
Benden helalinden 9.;Positive
Lopez olmasa 10 olacaktı.;Negative
kesinlikle izlemeniz gereken bir film.;Positive
sizi en başından içine alıyor.;Positive
bu film daha fazla puanı hakediyordu bence.;Positive
izlerken aklınızdan geçen tek fikir bu filmi kapatıp başka bi filme geçmek olacak!;Negative
